Year,Month,Day,Sum of Total_Bookings,Sum of adr,Sum of revenue,Cancellation %
2015,January,1,,12128100.03,32877649.66,0.371373064
2015,January,2,,12128100.03,32877649.66,0.371373064
2015,January,3,,12128100.03,32877649.66,0.371373064
2015,January,4,,12128100.03,32877649.66,0.371373064
2015,January,5,,12128100.03,32877649.66,0.371373064
2015,January,6,,12128100.03,32877649.66,0.371373064
2015,January,7,,12128100.03,32877649.66,0.371373064
2015,January,8,,12128100.03,32877649.66,0.371373064
2015,January,9,,12128100.03,32877649.66,0.371373064
2015,January,10,,12128100.03,32877649.66,0.371373064
2015,January,11,,12128100.03,32877649.66,0.371373064
2015,January,12,,12128100.03,32877649.66,0.371373064
2015,January,13,,12128100.03,32877649.66,0.371373064
2015,January,14,,12128100.03,32877649.66,0.371373064
2015,January,15,,12128100.03,32877649.66,0.371373064
2015,January,16,,12128100.03,32877649.66,0.371373064
2015,January,17,,12128100.03,32877649.66,0.371373064
2015,January,18,,12128100.03,32877649.66,0.371373064
2015,January,19,,12128100.03,32877649.66,0.371373064
2015,January,20,,12128100.03,32877649.66,0.371373064
2015,January,21,,12128100.03,32877649.66,0.371373064
2015,January,22,,12128100.03,32877649.66,0.371373064
2015,January,23,,12128100.03,32877649.66,0.371373064
2015,January,24,,12128100.03,32877649.66,0.371373064
2015,January,25,,12128100.03,32877649.66,0.371373064
2015,January,26,,12128100.03,32877649.66,0.371373064
2015,January,27,,12128100.03,32877649.66,0.371373064
2015,January,28,,12128100.03,32877649.66,0.371373064
2015,January,29,,12128100.03,32877649.66,0.371373064
2015,January,30,,12128100.03,32877649.66,0.371373064
2015,January,31,,12128100.03,32877649.66,0.371373064
2015,February,1,,12128100.03,32877649.66,0.371373064
2015,February,2,,12128100.03,32877649.66,0.371373064
2015,February,3,,12128100.03,32877649.66,0.371373064
2015,February,4,,12128100.03,32877649.66,0.371373064
2015,February,5,,12128100.03,32877649.66,0.371373064
2015,February,6,,12128100.03,32877649.66,0.371373064
2015,February,7,,12128100.03,32877649.66,0.371373064
2015,February,8,,12128100.03,32877649.66,0.371373064
2015,February,9,,12128100.03,32877649.66,0.371373064
2015,February,10,,12128100.03,32877649.66,0.371373064
2015,February,11,,12128100.03,32877649.66,0.371373064
2015,February,12,,12128100.03,32877649.66,0.371373064
2015,February,13,,12128100.03,32877649.66,0.371373064
2015,February,14,,12128100.03,32877649.66,0.371373064
2015,February,15,,12128100.03,32877649.66,0.371373064
2015,February,16,,12128100.03,32877649.66,0.371373064
2015,February,17,,12128100.03,32877649.66,0.371373064
2015,February,18,,12128100.03,32877649.66,0.371373064
2015,February,19,,12128100.03,32877649.66,0.371373064
2015,February,20,,12128100.03,32877649.66,0.371373064
2015,February,21,,12128100.03,32877649.66,0.371373064
2015,February,22,,12128100.03,32877649.66,0.371373064
2015,February,23,,12128100.03,32877649.66,0.371373064
2015,February,24,,12128100.03,32877649.66,0.371373064
2015,February,25,,12128100.03,32877649.66,0.371373064
2015,February,26,,12128100.03,32877649.66,0.371373064
2015,February,27,,12128100.03,32877649.66,0.371373064
2015,February,28,,12128100.03,32877649.66,0.371373064
2015,March,1,,12128100.03,32877649.66,0.371373064
2015,March,2,,12128100.03,32877649.66,0.371373064
2015,March,3,,12128100.03,32877649.66,0.371373064
2015,March,4,,12128100.03,32877649.66,0.371373064
2015,March,5,,12128100.03,32877649.66,0.371373064
2015,March,6,,12128100.03,32877649.66,0.371373064
2015,March,7,,12128100.03,32877649.66,0.371373064
2015,March,8,,12128100.03,32877649.66,0.371373064
2015,March,9,,12128100.03,32877649.66,0.371373064
2015,March,10,,12128100.03,32877649.66,0.371373064
2015,March,11,,12128100.03,32877649.66,0.371373064
2015,March,12,,12128100.03,32877649.66,0.371373064
2015,March,13,,12128100.03,32877649.66,0.371373064
2015,March,14,,12128100.03,32877649.66,0.371373064
2015,March,15,,12128100.03,32877649.66,0.371373064
2015,March,16,,12128100.03,32877649.66,0.371373064
2015,March,17,,12128100.03,32877649.66,0.371373064
2015,March,18,,12128100.03,32877649.66,0.371373064
2015,March,19,,12128100.03,32877649.66,0.371373064
2015,March,20,,12128100.03,32877649.66,0.371373064
2015,March,21,,12128100.03,32877649.66,0.371373064
2015,March,22,,12128100.03,32877649.66,0.371373064
2015,March,23,,12128100.03,32877649.66,0.371373064
2015,March,24,,12128100.03,32877649.66,0.371373064
2015,March,25,,12128100.03,32877649.66,0.371373064
2015,March,26,,12128100.03,32877649.66,0.371373064
2015,March,27,,12128100.03,32877649.66,0.371373064
2015,March,28,,12128100.03,32877649.66,0.371373064
2015,March,29,,12128100.03,32877649.66,0.371373064
2015,March,30,,12128100.03,32877649.66,0.371373064
2015,March,31,,12128100.03,32877649.66,0.371373064
2015,April,1,,12128100.03,32877649.66,0.371373064
2015,April,2,,12128100.03,32877649.66,0.371373064
2015,April,3,,12128100.03,32877649.66,0.371373064
2015,April,4,,12128100.03,32877649.66,0.371373064
2015,April,5,,12128100.03,32877649.66,0.371373064
2015,April,6,,12128100.03,32877649.66,0.371373064
2015,April,7,,12128100.03,32877649.66,0.371373064
2015,April,8,,12128100.03,32877649.66,0.371373064
2015,April,9,,12128100.03,32877649.66,0.371373064
2015,April,10,,12128100.03,32877649.66,0.371373064
2015,April,11,,12128100.03,32877649.66,0.371373064
2015,April,12,,12128100.03,32877649.66,0.371373064
2015,April,13,,12128100.03,32877649.66,0.371373064
2015,April,14,,12128100.03,32877649.66,0.371373064
2015,April,15,,12128100.03,32877649.66,0.371373064
2015,April,16,,12128100.03,32877649.66,0.371373064
2015,April,17,,12128100.03,32877649.66,0.371373064
2015,April,18,,12128100.03,32877649.66,0.371373064
2015,April,19,,12128100.03,32877649.66,0.371373064
2015,April,20,,12128100.03,32877649.66,0.371373064
2015,April,21,,12128100.03,32877649.66,0.371373064
2015,April,22,,12128100.03,32877649.66,0.371373064
2015,April,23,,12128100.03,32877649.66,0.371373064
2015,April,24,,12128100.03,32877649.66,0.371373064
2015,April,25,,12128100.03,32877649.66,0.371373064
2015,April,26,,12128100.03,32877649.66,0.371373064
2015,April,27,,12128100.03,32877649.66,0.371373064
2015,April,28,,12128100.03,32877649.66,0.371373064
2015,April,29,,12128100.03,32877649.66,0.371373064
2015,April,30,,12128100.03,32877649.66,0.371373064
2015,May,1,,12128100.03,32877649.66,0.371373064
2015,May,2,,12128100.03,32877649.66,0.371373064
2015,May,3,,12128100.03,32877649.66,0.371373064
2015,May,4,,12128100.03,32877649.66,0.371373064
2015,May,5,,12128100.03,32877649.66,0.371373064
2015,May,6,,12128100.03,32877649.66,0.371373064
2015,May,7,,12128100.03,32877649.66,0.371373064
2015,May,8,,12128100.03,32877649.66,0.371373064
2015,May,9,,12128100.03,32877649.66,0.371373064
2015,May,10,,12128100.03,32877649.66,0.371373064
2015,May,11,,12128100.03,32877649.66,0.371373064
2015,May,12,,12128100.03,32877649.66,0.371373064
2015,May,13,,12128100.03,32877649.66,0.371373064
2015,May,14,,12128100.03,32877649.66,0.371373064
2015,May,15,,12128100.03,32877649.66,0.371373064
2015,May,16,,12128100.03,32877649.66,0.371373064
2015,May,17,,12128100.03,32877649.66,0.371373064
2015,May,18,,12128100.03,32877649.66,0.371373064
2015,May,19,,12128100.03,32877649.66,0.371373064
2015,May,20,,12128100.03,32877649.66,0.371373064
2015,May,21,,12128100.03,32877649.66,0.371373064
2015,May,22,,12128100.03,32877649.66,0.371373064
2015,May,23,,12128100.03,32877649.66,0.371373064
2015,May,24,,12128100.03,32877649.66,0.371373064
2015,May,25,,12128100.03,32877649.66,0.371373064
2015,May,26,,12128100.03,32877649.66,0.371373064
2015,May,27,,12128100.03,32877649.66,0.371373064
2015,May,28,,12128100.03,32877649.66,0.371373064
2015,May,29,,12128100.03,32877649.66,0.371373064
2015,May,30,,12128100.03,32877649.66,0.371373064
2015,May,31,,12128100.03,32877649.66,0.371373064
2015,June,1,,12128100.03,32877649.66,0.371373064
2015,June,2,,12128100.03,32877649.66,0.371373064
2015,June,3,,12128100.03,32877649.66,0.371373064
2015,June,4,,12128100.03,32877649.66,0.371373064
2015,June,5,,12128100.03,32877649.66,0.371373064
2015,June,6,,12128100.03,32877649.66,0.371373064
2015,June,7,,12128100.03,32877649.66,0.371373064
